2024-09-17 20:40:45.077 | INFO     | __main__:<module>:27 | starting bot | {}
2024-09-17 20:40:55.836 | DEBUG    | src.middlewares.logging:__call__:54 | Received message | {'update_id': 599065255, 'message_id': 14, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/start', 'entities': [MessageEntity(type='bot_command', offset=0, length=6, url=None, user=None, language=None, custom_emoji_id=None)]}
2024-09-17 20:40:56.222 | INFO     | src.middlewares.logging:__call__:114 | Handled message | {'update_id': 599065255, 'message_id': 14, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/start', 'entities': [MessageEntity(type='bot_command', offset=0, length=6, url=None, user=None, language=None, custom_emoji_id=None)], 'process_result': True, 'spent_time_ms': 386.6}
2024-09-17 20:41:10.999 | DEBUG    | src.middlewares.logging:__call__:54 | Received message | {'update_id': 599065256, 'message_id': 16, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': 'ИБМ6-12Б', 'entities': None}
2024-09-17 20:41:11.225 | INFO     | src.middlewares.logging:__call__:114 | Handled message | {'update_id': 599065256, 'message_id': 16, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': 'ИБМ6-12Б', 'entities': None, 'process_result': True, 'spent_time_ms': 225.3}
2024-09-17 20:49:08.405 | INFO     | __main__:<module>:27 | starting bot | {}
2024-09-17 20:49:13.764 | DEBUG    | src.middlewares.logging:__call__:54 | Received message | {'update_id': 599065257, 'message_id': 18, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/week', 'entities': [MessageEntity(type='bot_command', offset=0, length=5, url=None, user=None, language=None, custom_emoji_id=None)]}
2024-09-17 20:51:50.657 | INFO     | __main__:<module>:27 | starting bot | {}
2024-09-17 20:51:51.394 | DEBUG    | src.middlewares.logging:__call__:54 | Received message | {'update_id': 599065258, 'message_id': 19, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/week', 'entities': [MessageEntity(type='bot_command', offset=0, length=5, url=None, user=None, language=None, custom_emoji_id=None)]}
2024-09-17 20:52:48.676 | INFO     | __main__:<module>:27 | starting bot | {}
2024-09-17 20:52:53.494 | DEBUG    | src.middlewares.logging:__call__:54 | Received message | {'update_id': 599065259, 'message_id': 20, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/week', 'entities': [MessageEntity(type='bot_command', offset=0, length=5, url=None, user=None, language=None, custom_emoji_id=None)]}
2024-09-17 20:52:55.037 | DEBUG    | src.handlers.commands:week_cmd:31 | ИБМ6-12Б | {}
2024-09-17 22:35:16.149 | INFO     | __main__:<module>:5 | starting bot | {}
2024-09-17 22:35:16.589 | DEBUG    | src.middlewares.logging:__call__:54 | Received message | {'update_id': 599065260, 'message_id': 21, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/week', 'entities': [MessageEntity(type='bot_command', offset=0, length=5, url=None, user=None, language=None, custom_emoji_id=None)]}
2024-09-17 22:35:17.347 | DEBUG    | src.middlewares.logging:__call__:54 | Received message | {'update_id': 599065261, 'message_id': 22, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/week', 'entities': [MessageEntity(type='bot_command', offset=0, length=5, url=None, user=None, language=None, custom_emoji_id=None)]}
2024-09-17 22:35:19.359 | INFO     | src.middlewares.logging:__call__:114 | Handled message | {'update_id': 599065261, 'message_id': 22, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/week', 'entities': [MessageEntity(type='bot_command', offset=0, length=5, url=None, user=None, language=None, custom_emoji_id=None)], 'process_result': True, 'spent_time_ms': 2012.9}
